Book,Author(s),First published,Genre
Animal Farm ,George Orwell,1945,"Satirical allegorical novella, Political satire, Dystopian Fiction, Roman à clef"
Wolf Totem (狼图腾),Jiang Rong,2004,Semi-autobiographical novel
The Happy Hooker: My Own Story,Xaviera Hollander,1971,Memoir
Jaws,Peter Benchley,1974,Thriller
Love You Forever,Robert Munsch,1986,"Children's literature, picture book, fiction"
The Women's Room,Marilyn French,1977,Feminist novel
What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,1984,Pregnancy guide
Adventures of Huckleberry Finn,Mark Twain,1885,"Picaresque novel, Bildungsroman, satire, Robinsonade"
Pride and Prejudice,Jane Austen,1813,"Classic regency novel, romance"
Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,1950,Travel literature
The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,1923,Unfinished satirical dark comedy novel
Where the Wild Things Are,Maurice Sendak,1963,Children's picture book
The Power of Positive Thinking,Norman Vincent Peale,1952,Self-help
The Secret,Rhonda Byrne,2006,Self-help
Fear of Flying,Erica Jong,1973,Romantic novel
Dune,Frank Herbert,1965,Science fiction novel
Charlie and the Chocolate Factory,Roald Dahl,1964,Children's fantasy novel
The Naked Ape,Desmond Morris,1968,"Social Science, Anthropology, Psychology"
Where the Crawdads Sing,Delia Owens,2018,Coming-of-age Murder mystery
Matilda,Roald Dahl,1988,Children's Literature
The Book Thief,Markus Zusak,2005,Young Adult Fiction
Goodnight Moon,Margaret Wise Brown,1947,Children's Literature
The Neverending Story (Die unendliche Geschichte),Michael Ende,1979,Children's Literature
All the Light We Cannot See,Anthony Doerr,2014,"Historical fiction, war novel"
Fifty Shades of Grey,E. L. James,2011,Erotica
The Pillars of the Earth,Ken Follett,1989,Historical fiction
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,Science fiction
The Giver,Lois Lowry,1993,Dystopian fiction
The Exorcist,William Peter Blatty,1971,Horror
Fifty Shades Darker,E. L. James,2012,Erotica
